faiss_id,movie_id,t0,t1,scene_id,shot_id,variant,bbox_x1,bbox_y1,bbox_x2,bbox_y2,size,n_frames,stride_s
112,orig_288p,190.375,191.0,36,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
113,orig_288p,191.0,192.0,37,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
114,orig_288p,192.0,192.75,38,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
115,orig_288p,192.75,193.458,39,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
116,orig_288p,193.458,194.375,40,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
117,orig_288p,194.375,195.667,41,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
118,orig_288p,195.667,196.625,42,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
119,orig_288p,196.625,197.667,43,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
120,orig_288p,197.667,199.125,44,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
121,orig_288p,199.125,200.583,44,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
122,orig_288p,200.583,201.604,45,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
123,orig_288p,201.604,202.625,45,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
124,orig_288p,202.625,204.458,46,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
125,orig_288p,204.458,206.208,47,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
126,orig_288p,206.208,207.25,48,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
127,orig_288p,207.25,208.292,48,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
128,orig_288p,208.292,209.875,49,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
129,orig_288p,209.875,211.458,49,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
130,orig_288p,211.459,213.042,49,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
131,orig_288p,213.042,214.625,49,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
132,orig_288p,214.625,215.667,50,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
133,orig_288p,215.667,217.084,51,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
134,orig_288p,217.084,218.5,51,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
135,orig_288p,218.5,219.833,52,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
136,orig_288p,219.833,221.166,52,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
137,orig_288p,221.167,222.5,52,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
138,orig_288p,222.5,223.688,53,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
139,orig_288p,223.688,224.875,53,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
140,orig_288p,224.875,226.041,54,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
141,orig_288p,226.041,227.207,54,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
142,orig_288p,227.208,228.395,55,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
143,orig_288p,228.395,229.583,55,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
144,orig_288p,229.583,230.645,56,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
145,orig_288p,230.645,231.708,56,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
146,orig_288p,231.708,232.916,57,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
147,orig_288p,232.916,234.125,57,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
148,orig_288p,234.125,236.083,58,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
149,orig_288p,236.083,237.667,59,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
150,orig_288p,237.667,239.542,60,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
151,orig_288p,239.542,241.417,60,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
152,orig_288p,241.417,243.292,60,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
153,orig_288p,243.292,245.167,60,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
154,orig_288p,245.167,246.042,61,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
155,orig_288p,246.042,247.708,62,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
156,orig_288p,247.708,249.625,63,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
157,orig_288p,249.625,251.229,64,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
158,orig_288p,251.229,252.833,64,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
159,orig_288p,252.833,254.291,65,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
160,orig_288p,254.291,255.749,65,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
161,orig_288p,255.75,257.208,65,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
162,orig_288p,257.208,259.0,66,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
163,orig_288p,259.0,260.292,67,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
164,orig_288p,260.292,261.667,68,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
165,orig_288p,261.667,262.583,69,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
166,orig_288p,262.583,263.458,70,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
167,orig_288p,263.458,264.125,71,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
168,orig_288p,264.125,264.833,72,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
169,orig_288p,264.833,266.25,73,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
170,orig_288p,266.25,267.667,73,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
171,orig_288p,267.667,268.833,74,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
172,orig_288p,268.833,270.167,75,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
173,orig_288p,270.167,271.604,76,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
